Gilt Name,Close of Business Date,ISIN,Type,Coupon,Maturity,Clean Price,Dirty Price,Purchased_Price,Yield,Mod Duration,Accrued Interest
UKT 3.25 01/33,26/04/2023,GB00BMV7TC88,Conventional,3.25,31/01/2033,96.333,97.28173,95,3.700307,8.181107,0.94873
UKT 0.875 07/33,20/04/2023,GB00BM8Z2S21,Conventional,0.875,31/07/2033,75.27,75.46337,106,3.804253,9.560375,0.19337
UKT 0.875 07/33,21/04/2023,GB00BM8Z2S21,Conventional,0.875,31/07/2033,75.38,75.580622,107,3.79127,9.553288,0.200622
UKT 0.875 07/33,24/04/2023,GB00BM8Z2S21,Conventional,0.875,31/07/2033,75.44,75.643039,95,3.783714,9.551185,0.203039
UKT 0.875 07/33,25/04/2023,GB00BM8Z2S21,Conventional,0.875,31/07/2033,76,76.205456,106,3.707243,9.554623,0.205456
UKT 0.875 07/33,26/04/2023,GB00BM8Z2S21,Conventional,0.875,31/07/2033,75.9,76.107873,94,3.721721,9.550747,0.207873
UKT 4.5 09/34,20/04/2023,GB00B52WS153,Conventional,4.5,07/09/2034,106.03,106.580272,94,3.840399,8.891242,0.550272
UKT 4.5 09/34,21/04/2023,GB00B52WS153,Conventional,4.5,07/09/2034,106.13,106.716957,112,3.829463,8.885046,0.586957
UKT 4.5 09/34,24/04/2023,GB00B52WS153,Conventional,4.5,07/09/2034,106.19,106.789185,99,3.823007,8.883444,0.599185
UKT 4.5 09/34,25/04/2023,GB00B52WS153,Conventional,4.5,07/09/2034,106.94,107.551413,112,3.744136,8.89377,0.611413
UKT 4.5 09/34,26/04/2023,GB00B52WS153,Conventional,4.5,07/09/2034,106.8,107.423641,98,3.758642,8.888714,0.623641
UKT 0.625 07/35,20/04/2023,GB00BMGR2916,Conventional,0.625,31/07/2035,68.2,68.338122,109,3.910882,11.466281,0.138122
UKT 0.625 07/35,21/04/2023,GB00BMGR2916,Conventional,0.625,31/07/2035,68.27,68.413301,92,3.904088,11.458838,0.143301
UKT 0.625 07/35,24/04/2023,GB00BMGR2916,Conventional,0.625,31/07/2035,68.34,68.485028,100,3.895874,11.456957,0.145028
UKT 0.625 07/35,25/04/2023,GB00BMGR2916,Conventional,0.625,31/07/2035,68.96,69.106754,111,3.817932,11.462096,0.146754
UKT 0.625 07/35,26/04/2023,GB00BMGR2916,Conventional,0.625,31/07/2035,68.84,68.988481,99,3.833792,11.457789,0.148481
UKT 4.25 03/36,20/04/2023,GB0032452392,Conventional,4.25,07/03/2036,103.36,103.879701,103,3.914939,9.860851,0.519701
UKT 4.25 03/36,21/04/2023,GB0032452392,Conventional,4.25,07/03/2036,103.48,104.034348,105,3.90305,9.855372,0.554348
UKT 4.25 03/36,24/04/2023,GB0032452392,Conventional,4.25,07/03/2036,103.57,104.135897,103,3.894215,9.854576,0.565897
UKT 4.25 03/36,25/04/2023,GB0032452392,Conventional,4.25,07/03/2036,104.39,104.967446,107,3.814616,9.868735,0.577446
UKT 4.25 03/36,26/04/2023,GB0032452392,Conventional,4.25,07/03/2036,104.23,104.818995,102,3.830004,9.862818,0.588995
UKT 1.75 09/37,20/04/2023,GB00BZB26Y51,Conventional,1.75,07/09/2037,75.39,75.603995,109,4.020303,12.181175,0.213995
UKT 1.75 09/37,21/04/2023,GB00BZB26Y51,Conventional,1.75,07/09/2037,75.51,75.738261,93,4.008394,12.175676,0.228261
UKT 1.75 09/37,24/04/2023,GB00BZB26Y51,Conventional,1.75,07/09/2037,75.59,75.823016,99,4.000093,12.174748,0.233016
UKT 1.75 09/37,25/04/2023,GB00BZB26Y51,Conventional,1.75,07/09/2037,76.26,76.497772,111,3.928234,12.18709,0.237772
UKT 1.75 09/37,26/04/2023,GB00BZB26Y51,Conventional,1.75,07/09/2037,76.1,76.342527,92,3.945777,12.180766,0.242527
UKT 3.75 01/38,20/04/2023,GB00BQC4R999,Conventional,3.75,29/01/2038,96.74,97.589448,96,4.044863,11.088038,0.849448
UKT 3.75 01/38,21/04/2023,GB00BQC4R999,Conventional,3.75,29/01/2038,96.86,97.740525,100,4.033898,11.083002,0.880525
UKT 3.75 01/38,24/04/2023,GB00BQC4R999,Conventional,3.75,29/01/2038,96.93,97.820884,100,4.027478,11.082102,0.890884
UKT 3.75 01/38,25/04/2023,GB00BQC4R999,Conventional,3.75,29/01/2038,97.7,98.601243,103,3.956818,11.099262,0.901243
UKT 3.75 01/38,26/04/2023,GB00BQC4R999,Conventional,3.75,29/01/2038,97.5,98.411602,93,3.975147,11.091403,0.911602
UKT 4.75 12/38,20/04/2023,GB00B00NY175,Conventional,4.75,07/12/2038,108.31,110.071676,107,4.027935,10.999824,1.761676
UKT 4.75 12/38,21/04/2023,GB00B00NY175,Conventional,4.75,07/12/2038,108.45,110.250824,104,4.016132,10.995688,1.800824
UKT 4.75 12/38,24/04/2023,GB00B00NY175,Conventional,4.75,07/12/2038,108.54,110.353874,103,4.008628,10.995501,1.813874
UKT 4.75 12/38,25/04/2023,GB00B00NY175,Conventional,4.75,07/12/2038,109.42,111.246923,95,3.936378,11.016919,1.826923
UKT 4.75 12/38,26/04/2023,GB00B00NY175,Conventional,4.75,07/12/2038,109.19,111.029973,109,3.955079,11.007988,1.839973
